source,target
found,मिल गया
take,लेना
people,लोग
thought,विचार
here,यहाँ
still,फिर भी
les,लेस
just,केवल
while,जबकि
def,डीईएफ़
also,भी
again,फिर
against,विरुद्ध
place,जगह
away,दूर
him,उसे
get,प्राप्त
To,सेवा
young,युवा
die,मरना
though,हालांकि
yet,अभी तक
What,क्या
give,देना
hand,हाथ
eyes,आंखें
ever,कभी
Then,फिर
part,अंश
des,डेस
left,बाएं
When,कब
things,चीज़ें
saw,देखा
years,वर्षों
took,लिया
nothing,कुछ भी तो नहीं
put,डाल
new,नया
three,तीन
always,हमेशा
und,#NAME?
off,बंद
As,जैसा
once,एक बार
another,एक और
His,उनके
right,सही
don't,नहीं
between,के बीच
each,से प्रत्येक
For,के लिये
face,चेहरा
because,चूंकि
whom,किसको
That,उस
few,कुछ
der,डीईआर
tell,कहना
son,बेटा
love,प्रेम
far,दूर
un,संयुक्त राष्ट्र
seemed,लग रहा था
house,मकान
hw,hw
got,गॉट
God,परमेश्वर
head,सिर
called,बुलाया
looked,देखा
At,पर
whole,पूरा का पूरा
set,सेट
find,खोज
Mrs,श्रीमती
world,विश्व
having,बीत रहा है
thing,चीज़
both,दोनों
told,बोला था
let,लश्कर
look,नज़र
THE,
night,रात
going,जा रहा
heard,हर्ड
mind,मन
knew,जानता था
No,नहीं
heart,दिल
seen,देखा
se,से
days,दिन
qui,कुई
name,नाम
among,के बीच में
done,किया हुआ
better,बेहतर
So,इसलिए
full,पूर्ण
something,कुछ कुछ
du,ड्यू
moment,पल
gave,दिया
country,देश
er,एर
almost,लगभग
Gutenberg,गुटेनबर्ग
soon,जल्द ही
them,उन्हें
course,कोर्स
On,पर
cannot,नही सकता
asked,पूछा
small,छोटा
ne,न
enough,बस
il,इल
want,चाहते हैं
side,पक्ष
woman,महिला
however,तथापि
home,घर
brought,लाया
whose,किसका
nor,न
father,पिता
me,मुझे
quite,काफी
words,शब्दों
given,दिया हुआ
till,जब तक
pos,स्थिति
taken,लिया
use,उपयोग
hands,हाथ
does,कर देता है
OF,का
until,जब तक
end,समाप्त
turned,बदल गया
rather,बल्कि
My,मेरे
thou,तुम
best,श्रेष्ठ
p,पी
since,जबसे
felt,महसूस किया
word,शब्द
Lord,भगवान
used,उपयोग किया गया
dans,दहेज
light,रोशनी
Oh,ओह
next,आगे
began,शुरू हुआ
less,कम से
present,वर्तमान
large,विशाल
water,पानी
den,मांद
within,अंदर
door,द्वार
poor,गरीब
certain,कुछ
works,काम करता है
pas,सहूलियत
sent,भेज दिया
often,अक्सर
tt,टीटी
stood,खड़ा था
power,शक्ति
Now,अभी
room,कक्ष
half,आधा
public,जनता
themselves,अपने
morning,सुबह
Sir,महोदय
myself,खुद
keep,रखना
money,पैसे
mother,मां
her,उसके
b,ख
une,उने
By,द्वारा
thy,तेरा
hundred,सौ
ets,टिकट
je,जेई
kind,मेहरबान
order,गण
war,युद्ध
means,माध्यम
form,प्रपत्र
pour,बहना
How,किस तरह
round,गोल
received,प्राप्त किया
voice,आवाज़
believe,मानना
y,य
white,सफेद
Miss,कुमारी
anything,कुछ भी
near,पास में
others,अन्य
thus,इस प्रकार
passed,बीतने के
matter,मामला
I'm,मैं हूँ
Well,कुंआ
year,साल
read,पढ़ना
TRUE,सच
All,सब
you,आप
point,बिंदु
herself,स्वयं
Of,का
friend,मित्र
state,राज्य
person,व्यक्ति
wife,पत्नी
already,पहले से
One,एक
above,ऊपर
high,उच्च
met,मिला
says,कहते हैं
together,साथ में
why,क्यों
perhaps,शायद
death,मौत
dear,प्रिय
fact,तथ्य
least,कम से कम
case,मामला
hear,सुनो
With,साथ में
known,मालूम
English,अंग्रेज़ी
four,चार
hope,आशा
au,औ
along,साथ में
leave,छोड़ना
sure,ज़रूर
children,बच्चे
during,दौरान
open,खुला हुआ
Yes,हाँ
New,नया
several,कई
King,राजा
indeed,वास्तव में
therefore,इसलिये
number,संख्या
feet,पैर का पंजा
wish,तमन्ना
gone,गया हुआ
girl,लड़की
lay,लेज़
either,भी
held,आयोजित
whether,या
letter,पत्र
ce,सी.ई.
help,मदद
free,नि: शुल्क
general,आम
vous,vous
second,दूसरा
alone,अकेला
return,वापसी
women,महिलाओं
nature,प्रकृति
times,बार
land,भूमि
became,बन गया
become,बनना
thousand,हज़ार
body,तन
air,वायु
thee,तेरा
call,कॉल
sat,बैठ गया
speak,बोले
United,यूनाइटेड
itself,अपने आप
States,राज्य अमेरिका
why,क्यों
hour,इस घंटे
John,जॉन
reason,कारण
M,म
forth,आगे
feel,मानना
looking,देख
following,निम्नलिखित
rest,आराम
terms,मामले
business,व्यापार
electronic,इलेक्ट्रोनिक
behind,पीछे
making,निर्माण
zu,जेड यू
I'll,मैं हूँ
cried,रोया
answered,जवाब
plus,प्लस
really,वास्तव में
friends,दोस्त
towards,की ओर
child,बच्चा
lost,खो गया
human,मानव
replied,ने उत्तर दिया
kept,रखा
coming,अ रहे है
five,पांच
king,राजा
After,उपरांत
different,विभिन्न
care,देखभाल
fire,आग
short,कम
manner,तौर तरीका
mean,मीन
city,Faridabad
fell,गिर गया
able,योग्य
need,जरुरत
These,इन
French,फ्रेंच
question,सवाल
family,परिवार
boy,लड़का
cause,वजह
Her,उसके
Do,कर
seems,लगता है
strong,मजबूत
par,सममूल्य
ten,दस
O,हे
England,इंगलैंड
possible,मुमकिन
dead,मृत
returned,लौटा हुआ
bring,लाना
sur,सुर
Foundation,आधार
live,लाइव
around,चारों ओर
doubt,संदेह
From,से
hard,कठिन
p,पी
soul,अन्त: मन
ask,पूछना
sort,तरह
fine,ठीक
hold,होल्ड
lady,महिला
black,काली
beautiful,सुंदर
sense,समझ
close,बंद करे
subject,विषय
turn,मोड़
town,नगर
followed,पीछा किया
law,कानून
evening,शाम
truth,सत्य
sa,एसए
ground,भूमि
understand,समझना
show,प्रदर्शन
lui,लुई
written,लिखा हुआ
n,एन
common,सामान्य
See,देख
est,EST
ought,चाहिए
fear,डर
dark,अंधेरा
party,पार्टी
Not,नहीं
ready,तैयार
force,बल
carried,किया
can't,नहीं कर सकते हैं
early,शीघ्र
said,कहा हुआ
talk,बातचीत
account,लेखा
answer,उत्तर
ja,जावेद
paid,भुगतान किया है
across,भर में
arms,हथियारों
necessary,ज़रूरी
si,सी
sometimes,कभी कभी
Here,यहाँ
earth,धरती
spirit,आत्मा
saying,कह रही है
das,दास
idea,विचार
eBook,ई-पुस्तक
character,चरित्र
reached,पहुंच गए
copyright,कॉपीराइट
sea,समुद्र
appeared,दिखाई दिया
van,वैन
sight,दृष्टि
interest,ब्याज
six,छह
St,अनुसूचित जनजाति
General,आम
von,वॉन
book,पुस्तक
seem,लगता है
taking,ले रहा
ye,तु
continued,निरंतर
avec,avec
spoke,स्पोक
strange,अजीब
copy,प्रतिलिपि
age,उम्र
meet,मिलना
longer,लंबे समय तक
story,कहानी
sn,एस.एन.
deep,गहरा
nearly,लगभग
line,लाइन
further,आगे की
feeling,अनुभूति
Footnote,पाद लेख
later,बाद में
suddenly,अचानक से
sir,महोदय
added,जोड़ा
sich,सिच
brother,भाई
neither,न
stand,खड़ा
I've,मैंने
art,कला
real,असली
it's,आईटी इस
nicht,nicht
toward,की ओर
rose,गुलाब का फूल
es,तों
beyond,परे
again,फिर
laws,कानून
sie,सी ई
miles,मील की दूरी पर
CHAPTER,अध्याय
everything,सब कुछ
pretty,सुंदर
act,कार्य
suppose,मान लीजिए
comes,आता हे
ich,आईसीएच
except,के सिवाय
table,टेबल
hours,घंटे
river,नदी
cut,कट गया
eye,आंख
change,परिवर्तन
Let,लश्कर
past,अतीत
nous,बुद्धि
natural,प्राकृतिक
entered,घुसा
Some,कुछ
none,कोई नहीं
happy,खुश
It's,आईटी इस
Il,इल
position,पद
France,फ्रांस
else,अन्य
Lady,महिला
clear,स्पष्ट
late,देर से
American,अमेरिकन
didn't,नहीं था
bed,बिस्तर
laid,रखी
Is,है
cold,सर्दी
bad,खराब
sound,ध्वनि
remember,याद है
view,राय
life,जिंदगी
led,एलईडी
low,कम
time,समय
mit,एमआईटी
forward,आगे
fair,निष्पक्ष
although,हालांकि
makes,बनाता है
purpose,उद्देश्य
knowledge,ज्ञान
living,जीवित
pay,वेतन
receive,प्राप्त करना
blood,रक्त
comme,comme
army,सेना
daughter,बेटी
note,ध्यान दें
opened,खुल गया
run,Daud
Dr,डॉ
el,एल
doing,करते हुए
fall,गिरना
dem,डेम
effect,प्रभाव
pass,उत्तीर्ण करना
sun,रवि
road,सड़क
ety,Ety
avait,अवत
ses,सत्र
husband,पति
charge,चार्ज
tried,कोशिश की
certainly,निश्चित रूप से
important,जरूरी
Literary,साहित्यिक
wanted,चाहता था
service,सर्विस
front,सामने
red,लाल
TO,सेवा
probably,शायद
future,भविष्य
pr,जनसंपर्क
placed,रखा हे
especially,विशेष रूप से
quill,मोड़ना
desire,मंशा
OR,या
elle,एली
send,भेजने
office,कार्यालय
Archive,पुरालेख
London,लंडन
greater,ग्रेटर
La,ला
te,ते
big,बड़े
letters,पत्र
peace,शांति
hair,बाल
pleasure,अभिराम
lived,रहते थे
including,समेत
fld,बड़ा
horse,घोड़ा
glad,प्रसन्न
remained,बने रहे
opinion,राय
various,विभिन्न
het,हेट
hath,हाथ
bien,बिएन
An,एक
history,इतिहास
play,खेल
agreement,समझौता
died,मर गए
tout,टाउट
cd,सीडी
wrote,लिखा था
wild,जंगली
an',a '
ist,प्रथम
ran,दौड़ा
'I,'मैं
government,सरकार
donations,दान
save,सहेजें
als,ए एल एस
length,लंबाई
Ah,एएच
master,गुरुजी
latter,बाद वाला
Yet,अभी तक
persons,व्यक्तियों
col,कर्नल
hardly,मुश्किल से
gold,सोना
paper,कागज़
particular,विशेष
mark,निशान
Who,Who
information,जानकारी
cette,cette
bear,भालू
Thus,इस प्रकार
fellow,साथी
church,चर्च
attention,ध्यान
according,अनुसार
wind,हवा
per,प्रति
eBooks,ई बुक्स
company,कंपनी
walked,चला
chief,दार सर
strength,शक्ति
all,सब
gentleman,सज्जन
mine,मेरी
Paris,पेरिस
object,वस्तु
us,अमेरिका
unless,जब तक
duty,कर्तव्य
drew,ड्रयू
single,एक
distance,दूरी
books,पुस्तकें
deal,सौदा
mais,मैस
visit,यात्रा
man,आदमी
foot,पैर
beauty,सुंदरता
beginning,शुरू
heavy,हैवी
ein,ईआईऍन
standing,खड़ा है
knows,जानता है
thinking,विचारधारा
loved,प्यार किया
carry,कैरी
immediately,हाथोंहाथ
Captain,कप्तान
unto,पर्यत
e,इ
try,प्रयत्न
De,डे
rich,धनी
plain,मैदान
sweet,मिठाई
Madame,मेडम
Le,ले
seeing,देख के
minutes,मिनट
follow,का पालन करें
trouble,मुसीबत
yourself,स्वयं
write,लिखो
chance,मोका
regard,सम्मान
filled,भरा हुआ
S,रों
trees,पेड़
ou,कहां
won't,नहीं होगा
presence,उपस्थिति
merely,केवल
auf,auf
YOU,आप
secret,गुप्त
Our,हमारी
former,भूतपूर्व
mere,मात्र
appear,दिखाई
struck,मारना
learned,सीखा
arm,हाथ
giving,दे रही है
happened,हो गई
man's,पुस्र्ष का
influence,प्रभाव
SEE,देख
instead,बजाय
condition,स्थिति
twenty,बीस
work,काम
window,खिड़की
George,जॉर्ज
Where,कहाँ पे
afraid,डरा हुआ
below,नीचे
wrong,गलत
months,महीने
day,दिन
silence,शांति
May,मई
broken,टूटा हुआ
raised,उठाया
u,यू
outside,बाहर
getting,मिल रहा
caught,पकड़े गए
While,जबकि
simple,सरल
lips,होंठ
figure,आकृति
ago,पूर्व
reach,पहुंच
easily,सरलता
noble,महान
whatever,जो कुछ
dit,डाइट
thoughts,विचारों
een,Een
ancient,प्राचीन
blue,नीला
parts,पार्ट्स
leaving,छोड़ने
agree,इस बात से सहमत
generally,आम तौर पर
Your,तुम्हारी
showed,दिखाया है
AND,तथा
easy,आसान
ship,समुंद्री जहाज
action,कार्य
stay,रहना
hat,टोपी
moved,ले जाया गया
property,संपत्ति
fit,फिट
enemy,दुश्मन
states,राज्यों
way,मार्ग
grew,बढ़ी
afterwards,बाद में
born,उत्पन्न होने वाली
places,स्थानों
York,यॉर्क
impossible,असंभव
State,राज्य
worth,लायक
http,एचटीटीपी
arrived,पहुंच गए
occasion,अवसर
remain,रहना
please,कृप्या
green,हरा
married,विवाहित
that,उस
third,तीसरा
mouth,मुंह
sleep,नींद
period,अवधि
fresh,ताज़ा
faith,आस्था
system,प्रणाली
writing,लिख रहे हैं
there,वहाँ
boys,लड़के
horses,घोड़ों
entirely,पूरी तरह से
out,बाहर
smile,मुस्कुराओ
blockquote,ब्लॉककोट
goes,जाता है
usual,सामान्य
Charles,चार्ल्स
covered,ढका हुआ
appearance,दिखावट
bound,सीमा
respect,आदर करना
quiet,चुप
beside,के बगल में
dinner,रात का खाना
expression,अभिव्यक्ति
stopped,रोका हुआ
William,विलियम
slowly,धीरे से
considerable,महत्वपूर्ण
Prince,राजकुमार
somewhat,कुछ हद तक
walk,टहल लो
away,दूर
wonder,आश्चर्य
PROJECT,परियोजना
Mary,मेरी
greatest,महानतम
provide,प्रदान करें
etext,इत्तेफ़ाक़ से
German,जर्मन
perfect,उत्तम
court,कोर्ट
exclaimed,कहा
youth,जवानी
Come,आइए
cost,लागत
etc,आदि
scarcely,शायद ही
sudden,अचानक
Christian,ईसाई
evil,बुराई
danger,खतरा
main,मुख्य
battle,लड़ाई
wished,कामना
command,आदेश
notice,नोटिस
piece,टुकड़ा
political,राजनीतिक
sister,बहन
trying,कोशिश कर रहे हैं
proper,उचित
c,सी
started,शुरू कर दिया है
considered,माना
British,अंग्रेजों
allowed,अनुमति
expected,अपेक्षित होना
joy,हर्ष
private,निजी
bright,उज्ज्वल
result,परिणाम
Government,सरकार
Their,जो अपने
school,स्कूल
sit,बैठिये
language,भाषा
that's,वह है
House,मकान
los,लॉस
individual,व्यक्ति
South,दक्षिण
mon,सोमवार
meant,मतलब
food,खाना
wide,चौड़ा
now,अभी
formed,का गठन
week,सप्ताह
world,विश्व
seven,सात
tears,आंसू
Such,ऐसा
opportunity,अवसर
copies,प्रतियां
value,मूल्य
och,ऑच
waiting,इंतज़ार कर रही
broke,तोड़ दिया
Don't,नहीं
observed,देखे गए
support,सहयोग
due,देय
village,गाँव
Je,जेई
fight,लड़ाई
experience,अनुभव
himself,स्वयं
reading,पढ़ना
Or,या
medium,मध्यम
stone,पथरी
begin,शुरू
so,इसलिए
one,एक
circumstances,परिस्थिति
domain,डोमेन
discovered,की खोज की
personal,निजी
access,पहुंच
Henry,हेनरी
speaking,बोला जा रहा है
learn,सीखना
lines,पंक्तियां
offered,की पेशकश की
sitting,बैठक
grand,बड़ा
efforts,प्रयासों
society,समाज
boat,नाव
sans,बिना
takes,लेता है
hand,हाथ
date,दिनांक
original,मूल
up,यूपी
believed,माना जाता है कि
difficult,कठिन
conversation,बातचीत
wait,रुको
tree,पेड़
produced,प्रस्तुत
officers,अधिकारियों
paragraph,अनुच्छेद
cast,कास्ट
month,महीना
top,ऊपर
supposed,माना
tone,सुर
laughed,हँसे
girls,लड़कियाँ
intended,इरादा
determined,निर्धारित
Indian,भारतीय
I,मैं
Even,यहाँ तक की
appears,प्रकट होता है
step,कदम
honour,सम्मान
direction,दिशा
gives,देता है
news,समाचार
terrible,भयानक
silent,मूक
That's,वह है
produce,उत्पादित करें
eight,आठ
ces,सीईएस
prepared,तैयार
lie,झूठ
scene,स्थल
lives,रहता है
effort,प्रयास है
attempt,प्रयास
Church,चर्च
likely,उपयुक्त
associated,संबद्ध
drawn,तैयार
fifty,पचास
fast,तेज
street,सड़क
wall,दीवार
turning,मोड़
troops,सैनिकों
modern,आधुनिक
usually,आमतौर पर
military,सैन्य
author,लेखक
field,मैदान
heaven,स्वर्ग
fee,शुल्क
pleased,प्रसन्न
quickly,जल्दी से
perfectly,पूरी तरह से
authority,अधिकार
soft,मुलायम
bit,बिट
chair,कुरसी
cry,रोना
hot,गरम
talking,बात कर रहे
FOR,के लिये
passing,मृत्यु
eyes,आंखें
named,नामित
d'un,दून
Great,महान
summer,गर्मी
dat,डैट
afternoon,दोपहर
allow,अनुमति
declared,घोषित
passage,मार्ग
music,संगीत
Christ,ईसा मसीह
soldiers,सैनिकों
required,अपेक्षित
picture,चित्र
simply,केवल
pleasant,सुहानी
fixed,तय
permission,अनुमति
speech,भाषण
marriage,शादी
here,यहाँ
study,अध्ययन
race,रेस
religious,धार्मिक
West,पश्चिम
Perhaps,शायद
W,डब्ल्यू
L,एल
beneath,नीचे
Duke,शासक
ill,बीमार
Tom,टॉम
official,आधिकारिक
houses,मकानों
distribute,वितरित करना
spent,खर्च किया
Roman,रोमन
ladies,महिलाओं
leaves,पत्ते
justice,न्याय
straight,सीधे
trust,विश्वास
break,टूटना
equal,बराबरी का
eat,खा
North,उत्तरी
v,v
killed,मारे गए
threw,फेक दिया
physical,शारीरिक
religion,धर्म
I'd,मैं हो
watch,घड़ी
understood,समझ लिया
forget,भूल जाओ
Was,था
ex,भूतपूर्व
on,पर
instant,तुरंत
ordered,आदेश दिया
father's,पिता की
middle,मध्य
looks,दिखता है
sin,पाप
o'clock,बजे
success,सफलता
built,बनाया
matters,मामलों
lord,भगवान
using,का उपयोग करते हुए
obliged,बाध्य
fortune,भाग्य
spite,बावजूद
wise,वार
provided,प्रदान की
moral,नैतिक
o',ओ '
keeping,रखना
meeting,मुलाकात
aux,औक्स
plan,योजना
walls,दीवारों
touch,स्पर्श
closed,बन्द है
running,दौड़ना
rise,वृद्धि
flowers,फूल
social,सामाजिक
higher,उच्चतर
rate,मूल्यांकन करें
garden,बगीचा
do,कर
Father,पिता
changed,बदला हुआ
corner,कोने
James,जेम्स
steps,कदम
wouldn't,नहीं
orders,आदेश
eine,ईन
island,द्वीप
spring,वसंत
offer,प्रस्ताव
Et,एट
pain,दर्द
wood,लकड़ी
instance,उदाहरण
house,मकान
vain,व्यर्थ
directly,सीधे
Will,मर्जी
sufficient,पर्याप्त
happiness,ख़ुशी
journey,यात्रा
pale,पीला
dress,परिधान
ourselves,हम
conduct,आचरण
worthy,योग्य
lead,नेतृत्व
non,गैर
lying,झूठ बोलना
grave,गंभीर
possession,अधिकार
legal,कानूनी
Queen,रानी
lower,कम
caused,वजह
special,विशेष
other,अन्य
cases,मामलों
stop,रुकें
night,रात
nation,राष्ट्र
al,अल
warm,गरम
degree,डिग्री
he's,वह है
memory,याद
shown,पता चला
promise,वादा
wie,wie
situation,परिस्थिति
names,नाम
spoken,बोली जाने
foreign,विदेश
deux,ड्यूक्स
Greek,यूनानी
Rome,रोम
members,सदस्यों
vast,व्यापक
ma,एमए
escape,पलायन
sake,खातिर
loss,हानि
proved,साबित
in,में
était,Ã © टैट
complete,पूर्ण
passion,जुनून
leur,leur
shot,शॉट
difficulty,कठिनाई
couldn't,नहीं कर सका
courage,साहस
forced,मजबूर
ordinary,साधारण
mighty,शक्तिमान
fallen,गिरा हुआ
native,देशी
more,अधिक
concerning,विषय में
Mr,श्री
accepted,स्वीकार किए जाते हैं
board,मंडल
serious,गंभीर
spread,फैलाव
ways,तरीके
del,डेल
marked,चिह्नित
face,चेहरा
spot,स्थान
Colonel,कर्नल
twelve,बारह
wonderful,आश्चर्यजनक
questions,प्रशन
prevent,रोकें
expect,उम्मीद
camp,शिविर
di,डि
move,चाल
winter,सर्दी
excellent,अति उत्कृष्ट
additional,अतिरिक्त
America,अमेरिका
Michael,माइकल
tax,कर
consider,विचार करें
fait,बयां
car,गाड़ी
faire,नीति
distribution,वितरण
example,उदाहरण
silver,चांदी
glass,कांच
share,शेयर
century,सदी
engaged,व्यस्त
Every,हर एक
forms,फार्म
class,कक्षा
start,शुरू
shook,हिलाकर रख दिया
train,रेल गाडी
mentioned,उल्लेख किया
minute,मिनट
lot,बहुत
Just,केवल
Europe,यूरोप
men,पुरुषों
Are,कर रहे हैं
enter,दर्ज
isn't,नहीं है
you're,आप कर रहे हैं
decided,निर्णय लिया
particularly,विशेष रूप से
greatly,बहुत
method,तरीका
finally,आखिरकार
curious,जिज्ञासु
opposite,सामने
Have,है
prove,साबित करना
described,वर्णित
Old,पुराना
pure,शुद्ध
a,ए
floor,मंज़िल
No,नहीं
promised,वादा किया
existence,अस्तित्व
thirty,तीस
Xpage,Xpage
head,सिर
know,जानना
worse,और भी बुरा
refund,धन की वापसी
affairs,कार्य
sorry,माफ़ करना
Only,केवल
servant,नौकर
besides,के अतिरिक्त
safe,सुरक्षित
working,काम कर रहे
anxious,चिंतित
doctor,चिकित्सक
thrown,फेंक दिया
extent,सीमा
Please,कृप्या
narrow,संकीर्ण
pride,गौरव
breath,सांस
room,कक्ष
repeated,दोहराया गया
similar,समान
A,ए
surprise,आश्चर्य
exactly,बिल्कुल सही
place,जगह
not,नहीं
obtain,प्राप्त
Did,किया
March,जुलूस
dog,कुत्ता
iron,लोहा
gentlemen,सज्जनों
Nor,न
marry,शादी कर
crowd,भीड़
sought,मांगा
con,चोर
knowing,ज्ञान
rule,नियम
dollars,डॉलर
page,पृष्ठ
accept,स्वीकार करना
watched,देखा
holding,पकड़े
shore,किनारा
trademark,ट्रेडमार्क
drink,पीना
officer,अफ़सर
Two,दो
judge,न्यायाधीश
serve,सेवा कर
attack,हमला
north,उत्तर
movement,आंदोलन
Thou,तुम
possessed,अधीन
meaning,जिसका अर्थ है
million,दस लाख
glance,झलक
laugh,हसना
trade,व्यापार
lose,खोना
search,खोज
talked,बातचीत की
broad,ब्रॉड
grace,कृपा
distant,दूर
home,घर
sign,संकेत
presented,प्रस्तुत किया
highest,उच्चतम
prince,राजकुमार
advantage,फायदा
Peter,पीटर
one's,एक
difference,अंतर
clearly,स्पष्ट रूप से
honest,ईमानदार
freely,आज़ादी से
Jesus,यीशु
royal,शाही
July,जुलाई
Indians,भारतीयों
Louis,लुई
interesting,दिलचस्प
seat,सीट
heads,सिर
before,इससे पहले
Illustration,चित्रण
path,पथ
proud,गर्व
posted,की तैनाती
finished,ख़त्म होना
country,देश
space,अंतरिक्ष
Many,अनेक
request,निवेदन
fully,पूरी तरह से
sad,उदास
quick,शीघ्र
ideas,विचारों
evidence,सबूत
sky,आकाश
auch,आच
ones,लोगों
fancy,कल्पना
choose,चुनें
captain,कप्तान
However,तथापि
there's,वहाँ है
dropped,गिरा
dry,सूखी
taste,स्वाद
sword,तलवार
confidence,विश्वास
amount,रकम
health,स्वास्थ्य
liberty,स्वतंत्रता
feelings,भावना
wine,वाइन
rising,उभरता हुआ
lies,झूठ
da,दा
shut,बंद
ships,जहाजों
settled,बसे हुए
report,रिपोर्ट good
conditions,शर्तेँ
created,बनाया था
June,जून
secure,सुरक्षित
permitted,अनुमति है
remembered,याद आया
agreed,माना
daily,रोज
seek,मांगना
obtained,प्राप्त
regarded,माना
F,एफ
national,राष्ट्रीय
tall,लंबा
principal,प्रधान अध्यापक
Monsieur,महाशय
portion,हिस्से
carefully,सावधानी से
points,अंक
mountains,पहाड़ों
Die,मरो
add,जोड़ना
measure,उपाय
glory,महिमा
expressed,व्यक्त
dare,हिम्मत
Mais,मैस
C,सी
clothes,वस्त्र
importance,महत्त्व
powers,शक्तियों
peculiar,अजीब
building,इमारत
people,लोग
brave,बहादुर
yes,हाँ
smiled,मुस्कराए
honor,आदर
Before,इससे पहले
dream,ख्वाब
hung,त्रिशंकु
refused,मना कर दिया
mountain,पर्वत
Those,उन
License,लाइसेंस
gentle,सज्जन
Good,अच्छा
occupied,कब्जा कर लिया
ears,कान
weeks,हफ्तों
sick,बीमार
President,अध्यक्ष
south,दक्षिण
thick,मोटा
progress,प्रगति
darkness,अंधेरा
claim,दावा
pieces,टुकड़े
heart,दिल
im,मैं हूँ
game,खेल
aid,चिकित्सा
Among,के बीच में
check,जाँच
immediate,तुरंत
mind,मन
hearts,दिल
succeeded,सफल हुए
aside,अलग
file,फ़ाइल
contrary,विरोध
fond,प्रिय
reply,जवाब दे दो
i,मैं
served,सेवित
draw,खींचना
tu,तू
holy,पवित्र
growing,बढ़ रही है
throughout,भर
Its,आईटी इस
bottom,तल
distributed,वितरित
events,आयोजन
grow,बढ़ना
Emperor,सम्राट
animal,जानवर
First,प्रथम
leading,प्रमुख
touched,छुआ
FALSE,असत्य
expense,व्यय
telling,कह
Section,अनुभाग
judgment,प्रलय
numerous,बहुत
sides,पक्षों
Spanish,स्पेनिश
finding,खोज
IN,में
frequently,बार बार
creature,जंतु
door,द्वार
hill,पहाड़ी
altogether,कुल मिलाकर
Washington,वाशिंगटन
well,कुंआ
famous,प्रसिद्ध
equally,समान रूप से
opening,प्रारंभिक
otherwise,अन्यथा
played,खेला
Court,कोर्ट
cross,पार करना
active,सक्रिय
sharp,तेज़
bank,बैंक
surely,निश्चित रूप से
tous,हमें
forgotten,भुला दिया
advance,अग्रिम
capital,राजधानी
Jack,जैक
sons,बेटों
facts,तथ्यों
desired,चाहा हे
willing,तैयार
surprised,आश्चर्य चकित
seized,जब्त
contact,संपर्क करें
Robert,रॉबर्ट
che,चे
hills,हिल्स
necessity,ज़रूरत
powerful,शक्तिशाली
naturally,सहज रूप में
taught,सिखाया
op,सेशन
established,स्थापना
golden,स्वर्ण
entire,संपूर्ण
streets,सड़कों
B,ख
intellectual,बौद्धिक
employed,कार्यरत
servants,नौकरों
anyone,किसी को
kill,मार
'em,'उन्हें
bread,रोटी
crossed,पार
presently,इस समय
thin,पतला
Nothing,कुछ भी तो नहीं
failed,अनुत्तीर्ण होना
suffered,का सामना करना पड़ा
Man,आदमी
fate,किस्मत
phrase,मुहावरा
Hart,हिरन
evidently,ज़रूर
sont,sont
November,नवंबर
Thomas,थॉमस
waited,प्रतीक्षा की
o,हे
stream,धारा
coast,कोस्ट
this,यह
hall,हॉल
David,डेविड
popular,लोकप्रिय
